data,IQP_fqp,iqp_FQP
2020-06-02,-1,-1
2020-06-03,0,-1
2020-06-04,0,-1
2020-06-05,-1,-1
2020-06-06,-1,-1
2020-06-07,0,-1
2020-06-08,-1,0
2020-06-09,-1,-1
2020-06-10,0,-1
2020-06-11,-1,-1
2020-06-12,-1,-1
2020-06-13,-1,0
2020-06-14,4,-1
2020-06-15,-1,-1
2020-06-16,0,0
2020-06-17,0,-1
2020-06-18,0,-1
2020-06-19,-1,-1
2020-06-20,-1,-1
2020-06-21,0,-1
2020-06-22,0,-1
2020-06-23,0,0
2020-06-24,-1,0
2020-06-25,0,-1
2020-06-26,0,0
2020-06-27,-1,-1
2020-06-28,0,-1
2020-06-29,0,0
2020-06-30,0,-1
2020-07-01,0,-1
2020-07-02,0,0
2020-07-03,-1,0
2020-07-04,-1,0
2020-07-05,0,-1
2020-07-06,-1,0
2020-07-07,0,-1
2020-07-08,-1,-1
2020-07-09,0,0
2020-07-10,0,0
2020-07-11,0,0
2020-07-12,0,0
2020-07-13,0,0
2020-07-14,0,-1
2020-07-15,0,0
2020-07-16,0,0
2020-07-17,0,0
2020-07-18,0,0
2020-07-19,0,0
2020-07-20,0,0
2020-07-21,-1,0
2020-07-22,0,0
2020-07-23,0,0
2020-07-24,0,-1
2020-07-25,0,-1
2020-07-26,0,0
2020-07-27,0,0
2020-07-28,-1,0
2020-07-29,0,0
2020-07-30,-1,0
2020-07-31,-1,-1
2020-08-01,0,0
2020-08-02,0,-1
2020-08-03,0,0
2020-08-04,0,0
2020-08-05,0,0
2020-08-06,0,0
2020-08-07,0,0
2020-08-08,0,0
2020-08-09,0,0
2020-08-10,0,0
2020-08-11,-1,0
2020-08-12,-1,-1
2020-08-13,-1,0
2020-08-14,-1,-1
2020-08-15,-1,-1
2020-08-16,0,0
2020-08-17,-1,-1
2020-08-18,0,-1
2020-08-19,-1,-1
2020-08-20,-1,-1
2020-08-21,-1,4
2020-08-22,-1,0
2020-08-23,0,-1
2020-08-24,-1,-1
2020-08-25,-1,-1
2020-08-26,0,-1
2020-08-27,0,-1
2020-08-28,-1,0
2020-08-29,-1,0
2020-08-30,-1,-1
2020-08-31,-1,-1
2020-09-01,0,0
2020-09-02,0,-1
2020-09-03,-1,-1
2020-09-04,-1,0
2020-09-05,4,0
2020-09-06,-1,-1
2020-09-07,-1,-1
2020-09-08,-1,-1
2020-09-09,-1,-1
2020-09-10,0,-1
2020-09-11,0,-1
2020-09-12,4,-1
2020-09-13,5,0
2020-09-14,5,-1
2020-09-15,5,-1
2020-09-16,-1,-1
2020-09-17,-1,-1
2020-09-18,-1,-1
2020-09-19,10,7
2020-09-20,5,6
2020-09-21,7,4
2020-09-22,4,6
2020-09-23,6,4
2020-09-24,5,-1
2020-09-25,5,6
2020-09-26,8,5
2020-09-27,11,4
2020-09-28,7,4
2020-09-29,12,5
2020-09-30,10,13
2020-10-01,13,4
2020-10-02,19,10
2020-10-03,17,9
2020-10-04,25,11
2020-10-05,25,11
2020-10-06,27,10
2020-10-07,25,11
2020-10-08,38,16
2020-10-09,24,19
2020-10-10,33,23
2020-10-11,43,17
2020-10-12,37,28
2020-10-13,47,31
2020-10-14,44,33
2020-10-15,55,43
2020-10-16,60,38
2020-10-17,54,46
2020-10-18,56,42
2020-10-19,58,53
2020-10-20,62,53
2020-10-21,71,45
2020-10-22,100,50
2020-10-23,88,56
2020-10-24,88,51
2020-10-25,100,76
2020-10-26,81,63
2020-10-27,87,68
2020-10-28,98,107
2020-10-29,107,81
2020-10-30,102,93
2020-10-31,91,98
2020-11-01,117,99
2020-11-02,106,103
2020-11-03,100,111
2020-11-04,123,120
2020-11-05,80,98
2020-11-06,110,94
2020-11-07,74,113
2020-11-08,108,101
2020-11-09,98,126
2020-11-10,94,103
2020-11-11,74,99
2020-11-12,85,101
2020-11-13,79,75
2020-11-14,64,103
2020-11-15,57,65
2020-11-16,69,97
2020-11-17,51,80
2020-11-18,61,75
2020-11-19,40,68
2020-11-20,36,60
2020-11-21,39,64
2020-11-22,26,65
2020-11-23,37,69
2020-11-24,19,61
2020-11-25,11,46
2020-11-26,5,33
2020-11-27,8,21
2020-11-28,6,22
2020-11-29,6,19
2020-11-30,-1,15
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
