data,P_iqo_is_fqo_g,p_IQO_is_fqo_g,p_iqo_IS_fqo_g,p_iqo_is_FQO_g,p_iqo_is_fqo_G
2020-11-23,73,73,53,68,68
2020-11-24,95,95,59,67,67
2020-11-25,73,73,71,83,83
2020-11-26,91,91,86,91,91
2020-11-27,71,71,84,101,101
2020-11-28,56,56,74,101,101
2020-11-29,30,30,67,95,95
2020-11-30,69,69,51,66,66
2020-12-01,61,61,55,96,96
2020-12-02,0,0,68,102,102
2020-12-03,0,0,31,90,90
2020-12-04,0,0,9,80,80
2020-12-05,0,0,0,75,75
2020-12-06,0,0,0,76,76
2020-12-07,0,0,0,94,94
2020-12-08,0,0,0,77,77
2020-12-09,0,0,0,65,65
2020-12-10,0,0,0,70,70
2020-12-11,0,0,0,79,79
2020-12-12,0,0,0,77,77
2020-12-13,0,0,0,76,76
2020-12-14,0,0,0,65,65
2020-12-15,0,0,0,75,75
2020-12-16,0,0,0,61,61
2020-12-17,0,0,0,48,48
2020-12-18,0,0,0,35,35
2020-12-19,0,0,0,18,18
2020-12-20,0,0,0,22,22
2020-12-21,0,0,0,6,6
2020-12-22,0,0,0,4,4
2020-12-23,0,0,0,0,0
2020-12-24,0,0,0,0,0
2020-12-25,0,0,0,0,0
2020-12-26,0,0,0,0,0
2020-12-27,0,0,0,0,0
2020-12-28,0,0,0,0,0
2020-12-29,0,0,0,0,0
2020-12-30,0,0,0,0,0
2020-12-31,0,0,0,0,0
