data,P_iqo_is_fqo_ai_di_ar_dr_g,p_IQO_is_fqo_ai_di_ar_dr_g,p_iqo_IS_fqo_ai_di_ar_dr_g,p_iqo_is_FQO_ai_di_ar_dr_g,p_iqo_is_fqo_AI_di_ar_dr_g,p_iqo_is_fqo_ai_DI_ar_dr_g,p_iqo_is_fqo_ai_di_AR_dr_g,p_iqo_is_fqo_ai_di_ar_DR_g,p_iqo_is_fqo_ai_di_ar_dr_G
2020-04-13,17,17,31,32,32,31,31,18,18
2020-04-14,25,25,19,30,30,25,25,17,17
2020-04-15,51,51,22,27,27,25,25,23,23
2020-04-16,45,45,43,39,39,26,26,22,22
2020-04-17,28,28,34,28,28,19,19,30,30
2020-04-18,29,29,37,36,36,31,31,9,9
2020-04-19,16,16,39,35,35,29,29,22,22
2020-04-20,26,26,17,31,31,26,26,27,27
2020-04-21,20,20,24,29,29,32,32,30,30
2020-04-22,30,30,21,24,24,23,23,23,23
2020-04-23,21,21,30,27,27,23,23,36,36
2020-04-24,22,22,21,26,26,23,23,27,27
2020-04-25,19,19,25,18,18,16,16,24,24
2020-04-26,8,8,14,17,17,21,21,28,28
2020-04-27,7,7,24,25,25,33,33,22,22
2020-04-28,33,33,6,10,10,15,15,32,32
2020-04-29,13,13,16,15,15,16,16,15,15
2020-04-30,12,12,19,22,22,16,16,17,17
2020-05-01,17,17,21,20,20,25,25,21,21
2020-05-02,13,13,16,16,16,18,18,22,22
2020-05-03,4,4,10,15,15,22,22,20,20
2020-05-04,-1,-1,10,8,8,18,18,24,24
2020-05-05,4,4,8,11,11,14,14,23,23
2020-05-06,8,8,-1,4,4,9,9,25,25
2020-05-07,7,7,4,5,5,11,11,21,21
2020-05-08,6,6,9,7,7,17,17,15,15
2020-05-09,7,7,7,7,7,14,14,12,12
2020-05-10,-1,-1,6,6,6,8,8,9,9
2020-05-11,4,4,-1,7,7,10,10,17,17
2020-05-12,8,8,7,11,11,14,14,12,12
2020-05-13,-1,-1,6,5,5,9,9,18,18
2020-05-14,7,7,5,7,7,7,7,8,8
2020-05-15,-1,-1,5,4,4,7,7,14,14
2020-05-16,0,0,4,6,6,6,6,11,11
2020-05-17,-1,-1,-1,-1,-1,6,6,9,9
2020-05-18,5,5,-1,-1,-1,9,9,8,8
2020-05-19,-1,-1,-1,4,4,-1,-1,6,6
2020-05-20,-1,-1,-1,4,4,5,5,10,10
2020-05-21,-1,-1,-1,-1,-1,8,8,4,4
2020-05-22,0,0,-1,-1,-1,4,4,4,4
2020-05-23,-1,-1,-1,-1,-1,-1,-1,10,10
2020-05-24,-1,-1,-1,-1,-1,8,8,8,8
2020-05-25,-1,-1,-1,0,0,-1,-1,5,5
2020-05-26,-1,-1,-1,-1,-1,8,8,-1,-1
2020-05-27,-1,-1,-1,-1,-1,6,6,7,7
2020-05-28,-1,-1,0,0,0,4,4,4,4
2020-05-29,0,0,4,-1,-1,-1,-1,6,6
2020-05-30,-1,-1,0,-1,-1,6,6,7,7
2020-05-31,-1,-1,-1,-1,-1,-1,-1,5,5
2020-06-01,0,0,0,0,0,6,6,6,6
2020-06-02,0,0,-1,-1,-1,-1,-1,8,8
2020-06-03,-1,-1,0,0,0,-1,-1,-1,-1
2020-06-04,-1,-1,0,0,0,4,4,4,4
2020-06-05,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-06-06,0,0,-1,-1,-1,-1,-1,-1,-1
2020-06-07,0,0,0,-1,-1,-1,-1,-1,-1
2020-06-08,-1,-1,0,0,0,-1,-1,-1,-1
2020-06-09,0,0,-1,0,0,-1,-1,4,4
2020-06-10,4,4,0,0,0,-1,-1,8,8
2020-06-11,0,0,0,-1,-1,-1,-1,-1,-1
2020-06-12,0,0,-1,-1,-1,-1,-1,-1,-1
2020-06-13,0,0,-1,-1,-1,-1,-1,-1,-1
2020-06-14,0,0,0,0,0,-1,-1,4,4
2020-06-15,-1,-1,0,-1,-1,-1,-1,-1,-1
2020-06-16,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-06-17,-1,-1,0,0,0,-1,-1,-1,-1
2020-06-18,-1,-1,-1,0,0,-1,-1,4,4
2020-06-19,0,0,-1,-1,-1,4,4,-1,-1
2020-06-20,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-06-21,0,0,0,-1,-1,-1,-1,-1,-1
2020-06-22,0,0,-1,0,0,0,0,-1,-1
2020-06-23,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-06-24,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-06-25,-1,-1,0,0,0,-1,-1,-1,-1
2020-06-26,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-06-27,0,0,-1,-1,-1,-1,-1,-1,-1
2020-06-28,0,0,-1,-1,-1,-1,-1,-1,-1
2020-06-29,0,0,0,-1,-1,-1,-1,-1,-1
2020-06-30,0,0,0,0,0,-1,-1,-1,-1
2020-07-01,0,0,0,0,0,-1,-1,-1,-1
2020-07-02,0,0,0,0,0,0,0,-1,-1
2020-07-03,-1,-1,0,0,0,-1,-1,0,0
2020-07-04,-1,-1,-1,-1,-1,-1,-1,0,0
2020-07-05,0,0,-1,0,0,-1,-1,-1,-1
2020-07-06,0,0,0,-1,-1,-1,-1,0,0
2020-07-07,-1,-1,-1,-1,-1,-1,-1,4,4
2020-07-08,-1,-1,0,0,0,0,0,-1,-1
2020-07-09,0,0,-1,-1,-1,-1,-1,-1,-1
2020-07-10,0,0,-1,-1,-1,-1,-1,0,0
2020-07-11,0,0,0,0,0,-1,-1,0,0
2020-07-12,0,0,0,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0,0,-1,-1
2020-07-14,-1,-1,0,0,0,0,0,-1,-1
2020-07-15,-1,-1,0,0,0,-1,-1,-1,-1
2020-07-16,-1,-1,0,0,0,-1,-1,-1,-1
2020-07-17,0,0,-1,-1,-1,0,0,0,0
2020-07-18,0,0,-1,0,0,0,0,0,0
2020-07-19,0,0,0,-1,-1,-1,-1,0,0
2020-07-20,0,0,0,0,0,0,0,0,0
2020-07-21,0,0,0,0,0,-1,-1,0,0
2020-07-22,0,0,0,0,0,0,0,0,0
2020-07-23,0,0,0,0,0,0,0,-1,-1
2020-07-24,-1,-1,0,0,0,0,0,-1,-1
2020-07-25,0,0,-1,0,0,0,0,0,0
2020-07-26,0,0,0,-1,-1,-1,-1,-1,-1
2020-07-27,-1,-1,0,0,0,0,0,-1,-1
2020-07-28,0,0,0,0,0,-1,-1,0,0
2020-07-29,0,0,0,0,0,-1,-1,0,0
2020-07-30,0,0,-1,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,-1,-1,0,0
2020-08-01,0,0,0,0,0,0,0,-1,-1
2020-08-02,0,0,0,0,0,0,0,-1,-1
2020-08-03,0,0,0,0,0,0,0,-1,-1
2020-08-04,0,0,0,0,0,0,0,0,0
2020-08-05,0,0,0,0,0,0,0,-1,-1
2020-08-06,0,0,0,-1,-1,0,0,0,0
2020-08-07,0,0,0,0,0,0,0,-1,-1
2020-08-08,0,0,0,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,-1,-1,0,0
2020-08-10,0,0,0,0,0,0,0,0,0
2020-08-11,-1,-1,0,0,0,0,0,0,0
2020-08-12,-1,-1,-1,-1,-1,0,0,0,0
2020-08-13,0,0,0,0,0,-1,-1,-1,-1
2020-08-14,0,0,0,0,0,0,0,0,0
2020-08-15,0,0,-1,0,0,-1,-1,0,0
2020-08-16,0,0,0,-1,-1,-1,-1,0,0
2020-08-17,-1,-1,0,0,0,0,0,-1,-1
2020-08-18,0,0,0,0,0,-1,-1,-1,-1
2020-08-19,-1,-1,-1,-1,-1,-1,-1,0,0
2020-08-20,0,0,0,0,0,0,0,-1,-1
2020-08-21,-1,-1,0,0,0,0,0,-1,-1
2020-08-22,0,0,-1,-1,-1,0,0,-1,-1
2020-08-23,0,0,-1,-1,-1,0,0,-1,-1
2020-08-24,0,0,0,0,0,0,0,0,0
2020-08-25,0,0,0,0,0,0,0,0,0
2020-08-26,0,0,0,0,0,0,0,-1,-1
2020-08-27,0,0,0,0,0,0,0,0,0
2020-08-28,0,0,0,0,0,0,0,0,0
2020-08-29,0,0,0,0,0,-1,-1,0,0
2020-08-30,0,0,0,0,0,0,0,-1,-1
2020-08-31,0,0,0,0,0,0,0,0,0
2020-09-01,0,0,0,0,0,0,0,0,0
2020-09-02,0,0,0,0,0,0,0,-1,-1
2020-09-03,-1,-1,0,0,0,0,0,0,0
2020-09-04,0,0,0,0,0,0,0,0,0
2020-09-05,0,0,0,0,0,0,0,0,0
2020-09-06,0,0,-1,0,0,-1,-1,0,0
2020-09-07,0,0,0,0,0,-1,-1,0,0
2020-09-08,-1,-1,0,0,0,0,0,0,0
2020-09-09,-1,-1,0,0,0,0,0,0,0
2020-09-10,0,0,-1,-1,-1,-1,-1,0,0
2020-09-11,0,0,0,-1,-1,-1,-1,-1,-1
2020-09-12,0,0,0,0,0,-1,-1,-1,-1
2020-09-13,0,0,0,0,0,-1,-1,0,0
2020-09-14,-1,-1,0,0,0,0,0,-1,-1
2020-09-15,0,0,-1,0,0,-1,-1,-1,-1
2020-09-16,-1,-1,0,-1,-1,0,0,-1,-1
2020-09-17,0,0,0,0,0,0,0,-1,-1
2020-09-18,0,0,-1,0,0,0,0,-1,-1
2020-09-19,-1,-1,0,0,0,0,0,0,0
2020-09-20,0,0,-1,-1,-1,0,0,0,0
2020-09-21,0,0,0,-1,-1,-1,-1,-1,-1
2020-09-22,-1,-1,0,0,0,0,0,0,0
2020-09-23,-1,-1,0,0,0,0,0,0,0
2020-09-24,-1,-1,0,0,0,0,0,-1,-1
2020-09-25,0,0,-1,-1,-1,0,0,0,0
2020-09-26,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-09-27,-1,-1,-1,-1,-1,-1,-1,0,0
2020-09-28,0,0,-1,-1,-1,-1,-1,0,0
2020-09-29,-1,-1,0,-1,-1,-1,-1,-1,-1
2020-09-30,-1,-1,0,-1,-1,0,0,-1,-1
2020-10-01,8,8,-1,-1,-1,-1,-1,-1,-1
2020-10-02,4,4,-1,-1,-1,-1,-1,-1,-1
2020-10-03,4,4,6,5,5,4,4,0,0
2020-10-04,-1,-1,7,-1,-1,0,0,-1,-1
2020-10-05,-1,-1,-1,-1,-1,-1,-1,0,0
2020-10-06,-1,-1,6,4,4,-1,-1,-1,-1
2020-10-07,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-10-08,-1,-1,0,-1,-1,-1,-1,5,5
2020-10-09,4,4,-1,4,4,-1,-1,-1,-1
2020-10-10,4,4,-1,-1,-1,0,0,0,0
2020-10-11,4,4,-1,4,4,-1,-1,4,4
2020-10-12,-1,-1,7,6,6,6,6,-1,-1
2020-10-13,5,5,0,-1,-1,-1,-1,-1,-1
2020-10-14,-1,-1,-1,4,4,-1,-1,-1,-1
2020-10-15,8,8,5,4,4,-1,-1,-1,-1
2020-10-16,8,8,-1,-1,-1,-1,-1,-1,-1
2020-10-17,13,13,8,-1,-1,-1,-1,4,4
2020-10-18,13,13,12,12,12,-1,-1,-1,-1
2020-10-19,21,21,11,12,12,7,7,-1,-1
2020-10-20,18,18,15,10,10,4,4,-1,-1
2020-10-21,38,38,18,15,15,7,7,-1,-1
2020-10-22,21,21,29,26,26,11,11,4,4
2020-10-23,25,25,24,27,27,17,17,-1,-1
2020-10-24,27,27,25,26,26,17,17,4,4
2020-10-25,21,21,23,20,20,19,19,8,8
2020-10-26,30,30,31,24,24,21,21,12,12
2020-10-27,29,29,23,23,23,16,16,8,8
2020-10-28,23,23,29,23,23,16,16,13,13
2020-10-29,31,31,26,24,24,18,18,15,15
2020-10-30,29,29,27,31,31,21,21,12,12
2020-10-31,34,34,22,23,23,20,20,16,16
2020-11-01,29,29,30,36,36,22,22,18,18
2020-11-02,36,36,31,22,22,19,19,19,19
2020-11-03,47,47,47,37,37,22,22,20,20
2020-11-04,40,40,33,31,31,23,23,22,22
2020-11-05,55,55,39,39,39,25,25,22,22
2020-11-06,42,42,48,45,45,27,27,26,26
2020-11-07,58,58,54,48,48,34,34,15,15
2020-11-08,49,49,49,49,49,44,44,20,20
2020-11-09,49,49,46,34,34,29,29,25,25
2020-11-10,37,37,57,55,55,38,38,27,27
2020-11-11,82,82,41,48,48,36,36,23,23
2020-11-12,60,60,54,38,38,25,25,35,35
2020-11-13,72,72,60,70,70,56,56,32,32
2020-11-14,51,51,77,59,59,42,42,36,36
2020-11-15,30,30,56,63,63,47,47,33,33
2020-11-16,53,53,54,46,46,43,43,31,31
2020-11-17,53,53,47,53,53,53,53,46,46
2020-11-18,63,63,45,52,52,33,33,40,40
2020-11-19,49,49,60,64,64,44,44,35,35
2020-11-20,40,40,53,42,42,39,39,36,36
2020-11-21,37,37,46,46,46,28,28,43,43
2020-11-22,34,34,38,46,46,51,51,54,54
2020-11-23,34,34,35,37,37,36,36,43,43
2020-11-24,51,51,38,43,43,40,40,39,39
2020-11-25,28,28,41,42,42,41,41,41,41
2020-11-26,64,64,38,36,36,38,38,38,38
2020-11-27,46,46,47,53,53,43,43,40,40
2020-11-28,26,26,49,51,51,48,48,40,40
2020-11-29,23,23,41,38,38,47,47,52,52
2020-11-30,36,36,27,32,32,48,48,48,48
2020-12-01,29,29,31,30,30,37,37,32,32
2020-12-02,56,56,32,24,24,24,24,47,47
2020-12-03,27,27,47,46,46,46,46,31,31
2020-12-04,17,17,31,38,38,34,34,37,37
2020-12-05,29,29,30,32,32,34,34,44,44
2020-12-06,15,15,23,27,27,27,27,43,43
2020-12-07,23,23,21,24,24,35,35,43,43
2020-12-08,13,13,21,21,21,26,26,41,41
2020-12-09,17,17,18,22,22,25,25,32,32
2020-12-10,20,20,19,30,30,31,31,36,36
2020-12-11,27,27,17,16,16,25,25,32,32
2020-12-12,13,13,19,17,17,21,21,26,26
2020-12-13,11,11,23,21,21,23,23,24,24
2020-12-14,9,9,12,20,20,29,29,36,36
2020-12-15,24,24,11,15,15,22,22,19,19
2020-12-16,0,0,15,13,13,28,28,27,27
2020-12-17,0,0,14,17,17,21,21,23,23
2020-12-18,0,0,4,10,10,22,22,27,27
2020-12-19,0,0,0,-1,-1,15,15,31,31
2020-12-20,0,0,0,-1,-1,17,17,25,25
2020-12-21,0,0,0,-1,-1,11,11,28,28
2020-12-22,0,0,0,-1,-1,8,8,18,18
2020-12-23,0,0,0,0,0,10,10,19,19
2020-12-24,0,0,0,-1,-1,10,10,20,20
2020-12-25,0,0,0,-1,-1,10,10,13,13
2020-12-26,0,0,0,0,0,5,5,15,15
2020-12-27,0,0,0,-1,-1,5,5,15,15
2020-12-28,0,0,0,8,8,15,15,10,10
2020-12-29,0,0,0,0,0,186,186,9,9
2020-12-30,0,0,0,0,0,0,0,13,13
2020-12-31,0,0,0,0,0,0,0,213,213
