data,IQP_fqp,iqp_FQP
2020-06-03,-1,-1
2020-06-04,-1,-1
2020-06-05,-1,-1
2020-06-06,-1,-1
2020-06-07,-1,-1
2020-06-08,-1,-1
2020-06-09,-1,-1
2020-06-10,-1,-1
2020-06-11,-1,-1
2020-06-12,0,-1
2020-06-13,-1,-1
2020-06-14,0,-1
2020-06-15,-1,-1
2020-06-16,0,0
2020-06-17,-1,-1
2020-06-18,-1,0
2020-06-19,-1,-1
2020-06-20,-1,-1
2020-06-21,0,0
2020-06-22,-1,-1
2020-06-23,0,-1
2020-06-24,-1,0
2020-06-25,-1,-1
2020-06-26,-1,-1
2020-06-27,0,-1
2020-06-28,-1,-1
2020-06-29,-1,-1
2020-06-30,0,-1
2020-07-01,-1,0
2020-07-02,0,-1
2020-07-03,0,-1
2020-07-04,-1,-1
2020-07-05,-1,-1
2020-07-06,-1,0
2020-07-07,-1,-1
2020-07-08,-1,0
2020-07-09,0,0
2020-07-10,-1,0
2020-07-11,-1,-1
2020-07-12,-1,0
2020-07-13,-1,-1
2020-07-14,6,0
2020-07-15,-1,0
2020-07-16,0,-1
2020-07-17,-1,-1
2020-07-18,-1,-1
2020-07-19,-1,0
2020-07-20,4,-1
2020-07-21,-1,-1
2020-07-22,-1,-1
2020-07-23,4,6
2020-07-24,-1,-1
2020-07-25,-1,5
2020-07-26,4,5
2020-07-27,-1,-1
2020-07-28,0,5
2020-07-29,-1,-1
2020-07-30,-1,-1
2020-07-31,-1,0
2020-08-01,4,0
2020-08-02,-1,0
2020-08-03,-1,4
2020-08-04,-1,-1
2020-08-05,-1,-1
2020-08-06,-1,-1
2020-08-07,5,-1
2020-08-08,-1,-1
2020-08-09,8,-1
2020-08-10,-1,-1
2020-08-11,-1,6
2020-08-12,-1,5
2020-08-13,7,-1
2020-08-14,4,-1
2020-08-15,-1,0
2020-08-16,6,-1
2020-08-17,4,0
2020-08-18,9,6
2020-08-19,6,5
2020-08-20,6,-1
2020-08-21,6,5
2020-08-22,4,-1
2020-08-23,4,7
2020-08-24,5,6
2020-08-25,9,7
2020-08-26,6,7
2020-08-27,8,6
2020-08-28,7,8
2020-08-29,4,7
2020-08-30,8,8
2020-08-31,6,8
2020-09-01,10,4
2020-09-02,5,11
2020-09-03,12,8
2020-09-04,6,6
2020-09-05,6,5
2020-09-06,7,5
2020-09-07,6,5
2020-09-08,10,9
2020-09-09,5,12
2020-09-10,8,-1
2020-09-11,13,7
2020-09-12,7,4
2020-09-13,7,7
2020-09-14,9,8
2020-09-15,11,8
2020-09-16,12,5
2020-09-17,15,13
2020-09-18,13,11
2020-09-19,19,10
2020-09-20,13,8
2020-09-21,18,7
2020-09-22,20,12
2020-09-23,23,10
2020-09-24,28,14
2020-09-25,25,21
2020-09-26,34,23
2020-09-27,54,28
2020-09-28,51,14
2020-09-29,46,18
2020-09-30,61,34
2020-10-01,60,41
2020-10-02,66,35
2020-10-03,83,34
2020-10-04,98,44
2020-10-05,90,44
2020-10-06,108,77
2020-10-07,112,63
2020-10-08,122,60
2020-10-09,146,74
2020-10-10,147,90
2020-10-11,192,112
2020-10-12,158,100
2020-10-13,174,132
2020-10-14,207,137
2020-10-15,184,148
2020-10-16,236,160
2020-10-17,235,165
2020-10-18,262,189
2020-10-19,298,205
2020-10-20,341,218
2020-10-21,292,227
2020-10-22,320,233
2020-10-23,317,276
2020-10-24,356,252
2020-10-25,341,301
2020-10-26,376,309
2020-10-27,357,323
2020-10-28,360,294
2020-10-29,365,340
2020-10-30,352,352
2020-10-31,381,373
2020-11-01,362,343
2020-11-02,434,395
2020-11-03,338,395
2020-11-04,371,390
2020-11-05,330,391
2020-11-06,359,394
2020-11-07,350,362
2020-11-08,305,377
2020-11-09,306,387
2020-11-10,322,424
2020-11-11,267,375
2020-11-12,281,338
2020-11-13,231,319
2020-11-14,246,300
2020-11-15,226,288
2020-11-16,202,287
2020-11-17,189,267
2020-11-18,181,275
2020-11-19,166,224
2020-11-20,167,196
2020-11-21,163,193
2020-11-22,171,203
2020-11-23,133,211
2020-11-24,116,191
2020-11-25,120,165
2020-11-26,113,148
2020-11-27,105,121
2020-11-28,100,121
2020-11-29,90,142
2020-11-30,75,108
2020-12-01,63,115
2020-12-02,58,102
2020-12-03,49,99
2020-12-04,50,78
2020-12-05,44,71
2020-12-06,41,87
2020-12-07,34,69
2020-12-08,27,66
2020-12-09,30,55
2020-12-10,18,57
2020-12-11,13,43
2020-12-12,12,26
2020-12-13,4,26
2020-12-14,-1,20
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
