data,P_iqo_fqo_g,p_IQO_fqo_g,p_iqo_FQO_g,p_iqo_fqo_G
2020-11-07,1233,1233,451,451
2020-11-08,699,699,506,506
2020-11-09,1292,1292,526,526
2020-11-10,1206,1206,555,555
2020-11-11,1372,1372,648,648
2020-11-12,1379,1379,712,712
2020-11-13,1636,1636,712,712
2020-11-14,1257,1257,759,759
2020-11-15,750,750,805,805
2020-11-16,1123,1123,839,839
2020-11-17,1312,1312,873,873
2020-11-18,1251,1251,890,890
2020-11-19,1228,1228,963,963
2020-11-20,1114,1114,1052,1052
2020-11-21,869,869,1123,1123
2020-11-22,483,483,1174,1174
2020-11-23,711,711,1196,1196
2020-11-24,776,776,1231,1231
2020-11-25,824,824,1239,1239
2020-11-26,826,826,1240,1240
2020-11-27,722,722,1362,1362
2020-11-28,546,546,1230,1230
2020-11-29,245,245,1247,1247
2020-11-30,442,442,1234,1234
2020-12-01,472,472,1275,1275
2020-12-02,556,556,1250,1250
2020-12-03,590,590,1276,1276
2020-12-04,510,510,1183,1183
2020-12-05,345,345,1114,1114
2020-12-06,208,208,1008,1008
2020-12-07,318,318,1054,1054
2020-12-08,204,204,1002,1002
2020-12-09,317,317,880,880
2020-12-10,367,367,808,808
2020-12-11,422,422,776,776
2020-12-12,329,329,737,737
2020-12-13,159,159,691,691
2020-12-14,203,203,617,617
2020-12-15,306,306,611,611
2020-12-16,0,0,551,551
2020-12-17,0,0,495,495
2020-12-18,0,0,524,524
2020-12-19,0,0,476,476
2020-12-20,0,0,459,459
2020-12-21,0,0,436,436
2020-12-22,0,0,386,386
2020-12-23,0,0,384,384
2020-12-24,0,0,343,343
2020-12-25,0,0,2471,2471
2020-12-26,0,0,0,0
2020-12-27,0,0,0,0
2020-12-28,0,0,0,0
2020-12-29,0,0,0,0
2020-12-30,0,0,0,0
2020-12-31,0,0,0,0
