data,P_iqo_is_fqo_ao_do_g,p_IQO_is_fqo_ao_do_g,p_iqo_IS_fqo_ao_do_g,p_iqo_is_FQO_ao_do_g,p_iqo_is_fqo_AO_do_g,p_iqo_is_fqo_ao_DO_g,p_iqo_is_fqo_ao_do_G
2020-02-20,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0
2020-02-27,-1,-1,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0
2020-02-29,0,0,-1,-1,-1,0,0
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,-1,-1,0,0,0,0,0
2020-03-06,-1,-1,0,0,0,-1,-1
2020-03-07,-1,-1,-1,0,0,0,0
2020-03-08,0,0,-1,-1,-1,0,0
2020-03-09,0,0,-1,-1,-1,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,-1,-1,0,0,0,-1,-1
2020-03-12,-1,-1,-1,-1,-1,-1,-1
2020-03-13,6,6,-1,-1,-1,-1,-1
2020-03-14,7,7,4,-1,-1,-1,-1
2020-03-15,-1,-1,8,8,8,-1,-1
2020-03-16,4,4,-1,-1,-1,-1,-1
2020-03-17,-1,-1,-1,-1,-1,0,0
2020-03-18,-1,-1,5,5,5,0,0
2020-03-19,-1,-1,0,0,0,-1,-1
2020-03-20,4,4,-1,-1,-1,0,0
2020-03-21,7,7,-1,-1,-1,0,0
2020-03-22,4,4,7,4,4,0,0
2020-03-23,4,4,6,7,7,0,0
2020-03-24,6,6,-1,-1,-1,0,0
2020-03-25,-1,-1,-1,5,5,-1,-1
2020-03-26,4,4,4,-1,-1,-1,-1
2020-03-27,-1,-1,6,6,6,-1,-1
2020-03-28,6,6,-1,-1,-1,-1,-1
2020-03-29,-1,-1,-1,-1,-1,4,4
2020-03-30,4,4,4,5,5,-1,-1
2020-03-31,5,5,-1,-1,-1,-1,-1
2020-04-01,-1,-1,5,5,5,-1,-1
2020-04-02,7,7,-1,4,4,4,4
2020-04-03,-1,-1,5,-1,-1,-1,-1
2020-04-04,-1,-1,5,5,5,4,4
2020-04-05,4,4,-1,5,5,-1,-1
2020-04-06,-1,-1,-1,-1,-1,-1,-1
2020-04-07,-1,-1,-1,6,6,-1,-1
2020-04-08,4,4,-1,-1,-1,-1,-1
2020-04-09,4,4,-1,-1,-1,-1,-1
2020-04-10,0,0,-1,4,4,0,0
2020-04-11,-1,-1,-1,-1,-1,-1,-1
2020-04-12,-1,-1,-1,-1,-1,7,7
2020-04-13,-1,-1,-1,-1,-1,-1,-1
2020-04-14,0,0,-1,-1,-1,-1,-1
2020-04-15,4,4,-1,-1,-1,5,5
2020-04-16,9,9,-1,-1,-1,6,6
2020-04-17,4,4,7,6,6,-1,-1
2020-04-18,5,5,5,7,7,-1,-1
2020-04-19,-1,-1,4,-1,-1,-1,-1
2020-04-20,-1,-1,4,5,5,5,5
2020-04-21,-1,-1,-1,-1,-1,4,4
2020-04-22,0,0,-1,-1,-1,5,5
2020-04-23,4,4,-1,-1,-1,-1,-1
2020-04-24,-1,-1,-1,-1,-1,-1,-1
2020-04-25,-1,-1,-1,-1,-1,-1,-1
2020-04-26,-1,-1,-1,-1,-1,-1,-1
2020-04-27,-1,-1,-1,-1,-1,-1,-1
2020-04-28,5,5,4,-1,-1,-1,-1
2020-04-29,4,4,-1,-1,-1,-1,-1
2020-04-30,-1,-1,5,-1,-1,-1,-1
2020-05-01,-1,-1,5,7,7,0,0
2020-05-02,-1,-1,4,-1,-1,-1,-1
2020-05-03,0,0,0,-1,-1,4,4
2020-05-04,0,0,-1,-1,-1,0,0
2020-05-05,0,0,0,-1,-1,-1,-1
2020-05-06,-1,-1,0,0,0,-1,-1
2020-05-07,-1,-1,0,-1,-1,-1,-1
2020-05-08,0,0,-1,-1,-1,-1,-1
2020-05-09,-1,-1,-1,-1,-1,-1,-1
2020-05-10,0,0,-1,-1,-1,-1,-1
2020-05-11,0,0,0,-1,-1,9,9
2020-05-12,0,0,0,0,0,-1,-1
2020-05-13,0,0,0,0,0,-1,-1
2020-05-14,0,0,0,0,0,-1,-1
2020-05-15,0,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,-1,-1
2020-05-17,0,0,0,0,0,-1,-1
2020-05-18,-1,-1,0,0,0,4,4
2020-05-19,-1,-1,0,0,0,-1,-1
2020-05-20,0,0,-1,0,0,-1,-1
2020-05-21,0,0,-1,-1,-1,-1,-1
2020-05-22,0,0,0,0,0,-1,-1
2020-05-23,-1,-1,0,0,0,-1,-1
2020-05-24,0,0,-1,0,0,0,0
2020-05-25,0,0,0,0,0,-1,-1
2020-05-26,0,0,0,0,0,0,0
2020-05-27,-1,-1,0,0,0,-1,-1
2020-05-28,0,0,0,-1,-1,0,0
2020-05-29,-1,-1,-1,-1,-1,0,0
2020-05-30,0,0,0,0,0,-1,-1
2020-05-31,0,0,-1,-1,-1,-1,-1
2020-06-01,0,0,0,0,0,-1,-1
2020-06-02,0,0,0,0,0,-1,-1
2020-06-03,0,0,0,0,0,-1,-1
2020-06-04,0,0,0,0,0,-1,-1
2020-06-05,0,0,0,0,0,-1,-1
2020-06-06,0,0,0,0,0,0,0
2020-06-07,0,0,0,-1,-1,0,0
2020-06-08,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,-1,-1
2020-06-10,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0
2020-06-12,-1,-1,0,0,0,0,0
2020-06-13,-1,-1,0,0,0,0,0
2020-06-14,0,0,-1,-1,-1,0,0
2020-06-15,-1,-1,0,0,0,-1,-1
2020-06-16,0,0,0,0,0,0,0
2020-06-17,-1,-1,0,0,0,-1,-1
2020-06-18,0,0,-1,0,0,0,0
2020-06-19,0,0,0,0,0,-1,-1
2020-06-20,0,0,-1,-1,-1,0,0
2020-06-21,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,-1,-1
2020-06-23,0,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,-1,-1
2020-06-25,0,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,-1,-1
2020-06-27,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,-1,-1
2020-07-01,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,0
2020-07-10,0,0,0,0,0,0,0
2020-07-11,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,-1,-1
2020-07-15,0,0,0,0,0,-1,-1
2020-07-16,0,0,0,0,0,0,0
2020-07-17,0,0,0,0,0,0,0
2020-07-18,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,0,0
2020-07-20,0,0,0,-1,-1,0,0
2020-07-21,0,0,0,0,0,0,0
2020-07-22,0,0,0,0,0,0,0
2020-07-23,0,0,0,0,0,0,0
2020-07-24,0,0,0,0,0,0,0
2020-07-25,0,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,0,0
2020-07-28,0,0,0,0,0,0,0
2020-07-29,0,0,0,0,0,0,0
2020-07-30,0,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,0,0
2020-08-01,0,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,0
2020-08-03,0,0,0,0,0,-1,-1
2020-08-04,0,0,0,0,0,0,0
2020-08-05,0,0,0,0,0,0,0
2020-08-06,0,0,0,0,0,0,0
2020-08-07,0,0,0,0,0,0,0
2020-08-08,0,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,0,0
2020-08-11,0,0,0,0,0,0,0
2020-08-12,0,0,0,0,0,-1,-1
2020-08-13,0,0,0,0,0,0,0
2020-08-14,0,0,0,0,0,0,0
2020-08-15,0,0,0,0,0,0,0
2020-08-16,0,0,0,0,0,0,0
2020-08-17,0,0,0,0,0,0,0
2020-08-18,0,0,0,0,0,0,0
2020-08-19,0,0,0,0,0,0,0
2020-08-20,0,0,0,0,0,0,0
2020-08-21,0,0,0,0,0,0,0
2020-08-22,0,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0
2020-08-24,0,0,0,0,0,0,0
2020-08-25,0,0,0,0,0,0,0
2020-08-26,0,0,0,0,0,-1,-1
2020-08-27,0,0,0,0,0,0,0
2020-08-28,0,0,0,0,0,0,0
2020-08-29,-1,-1,0,0,0,0,0
2020-08-30,0,0,0,0,0,0,0
2020-08-31,0,0,-1,-1,-1,0,0
2020-09-01,0,0,0,0,0,-1,-1
2020-09-02,-1,-1,0,0,0,0,0
2020-09-03,0,0,-1,0,0,0,0
2020-09-04,0,0,0,-1,-1,0,0
2020-09-05,0,0,0,0,0,0,0
2020-09-06,0,0,0,0,0,0,0
2020-09-07,0,0,0,0,0,0,0
2020-09-08,0,0,0,0,0,0,0
2020-09-09,-1,-1,0,0,0,0,0
2020-09-10,-1,-1,-1,0,0,0,0
2020-09-11,0,0,0,-1,-1,0,0
2020-09-12,0,0,0,0,0,0,0
2020-09-13,0,0,-1,0,0,0,0
2020-09-14,0,0,0,0,0,0,0
2020-09-15,0,0,0,-1,-1,0,0
2020-09-16,0,0,0,0,0,-1,-1
2020-09-17,0,0,0,0,0,0,0
2020-09-18,0,0,0,0,0,0,0
2020-09-19,0,0,0,0,0,0,0
2020-09-20,0,0,0,0,0,0,0
2020-09-21,0,0,0,0,0,0,0
2020-09-22,0,0,0,0,0,-1,-1
2020-09-23,0,0,0,0,0,0,0
2020-09-24,0,0,0,0,0,0,0
2020-09-25,-1,-1,0,0,0,0,0
2020-09-26,-1,-1,-1,0,0,0,0
2020-09-27,0,0,0,0,0,0,0
2020-09-28,0,0,0,0,0,0,0
2020-09-29,0,0,-1,-1,-1,-1,-1
2020-09-30,-1,-1,0,0,0,0,0
2020-10-01,-1,-1,-1,-1,-1,-1,-1
2020-10-02,-1,-1,0,0,0,0,0
2020-10-03,0,0,-1,-1,-1,0,0
2020-10-04,-1,-1,0,0,0,0,0
2020-10-05,-1,-1,-1,-1,-1,0,0
2020-10-06,0,0,-1,-1,-1,0,0
2020-10-07,-1,-1,0,0,0,-1,-1
2020-10-08,-1,-1,-1,-1,-1,-1,-1
2020-10-09,-1,-1,0,0,0,0,0
2020-10-10,-1,-1,-1,0,0,-1,-1
2020-10-11,4,4,-1,-1,-1,0,0
2020-10-12,-1,-1,-1,-1,-1,0,0
2020-10-13,-1,-1,-1,4,4,-1,-1
2020-10-14,-1,-1,5,-1,-1,-1,-1
2020-10-15,5,5,-1,-1,-1,-1,-1
2020-10-16,4,4,4,-1,-1,0,0
2020-10-17,-1,-1,-1,5,5,-1,-1
2020-10-18,4,4,6,-1,-1,0,0
2020-10-19,5,5,0,-1,-1,-1,-1
2020-10-20,4,4,6,-1,-1,0,0
2020-10-21,5,5,4,4,4,-1,-1
2020-10-22,6,6,8,5,5,-1,-1
2020-10-23,-1,-1,4,5,5,-1,-1
2020-10-24,8,8,4,-1,-1,-1,-1
2020-10-25,6,6,-1,4,4,-1,-1
2020-10-26,5,5,6,-1,-1,-1,-1
2020-10-27,9,9,8,5,5,6,6
2020-10-28,7,7,8,10,10,5,5
2020-10-29,8,8,7,7,7,-1,-1
2020-10-30,5,5,5,5,5,-1,-1
2020-10-31,7,7,5,4,4,-1,-1
2020-11-01,4,4,7,8,8,4,4
2020-11-02,18,18,8,6,6,6,6
2020-11-03,10,10,8,11,11,4,4
2020-11-04,11,11,11,8,8,4,4
2020-11-05,20,20,14,14,14,-1,-1
2020-11-06,18,18,17,13,13,5,5
2020-11-07,13,13,19,19,19,4,4
2020-11-08,11,11,15,15,15,11,11
2020-11-09,13,13,10,12,12,6,6
2020-11-10,21,21,8,9,9,7,7
2020-11-11,21,21,20,15,15,4,4
2020-11-12,23,23,16,20,20,8,8
2020-11-13,23,23,22,15,15,4,4
2020-11-14,19,19,26,21,21,5,5
2020-11-15,9,9,21,31,31,9,9
2020-11-16,13,13,20,13,13,11,11
2020-11-17,12,12,13,17,17,7,7
2020-11-18,16,16,11,12,12,9,9
2020-11-19,18,18,11,17,17,11,11
2020-11-20,15,15,16,12,12,8,8
2020-11-21,14,14,11,14,14,8,8
2020-11-22,-1,-1,19,9,9,9,9
2020-11-23,5,5,13,16,16,11,11
2020-11-24,16,16,-1,7,7,7,7
2020-11-25,15,15,14,14,14,13,13
2020-11-26,12,12,14,16,16,11,11
2020-11-27,6,6,10,8,8,12,12
2020-11-28,4,4,9,8,8,14,14
2020-11-29,-1,-1,10,8,8,15,15
2020-11-30,5,5,-1,6,6,9,9
2020-12-01,4,4,6,5,5,8,8
2020-12-02,8,8,-1,7,7,17,17
2020-12-03,6,6,5,7,7,14,14
2020-12-04,4,4,9,7,7,9,9
2020-12-05,7,7,4,7,7,8,8
2020-12-06,-1,-1,6,5,5,14,14
2020-12-07,5,5,5,5,5,7,7
2020-12-08,-1,-1,-1,-1,-1,10,10
2020-12-09,-1,-1,5,11,11,10,10
2020-12-10,4,4,-1,0,0,13,13
2020-12-11,8,8,5,-1,-1,6,6
2020-12-12,-1,-1,5,4,4,11,11
2020-12-13,-1,-1,-1,5,5,6,6
2020-12-14,6,6,-1,-1,-1,9,9
2020-12-15,4,4,-1,4,4,8,8
2020-12-16,0,0,5,6,6,-1,-1
2020-12-17,0,0,-1,-1,-1,9,9
2020-12-18,0,0,-1,-1,-1,14,14
2020-12-19,0,0,0,-1,-1,-1,-1
2020-12-20,0,0,0,0,0,11,11
2020-12-21,0,0,0,0,0,5,5
2020-12-22,0,0,0,0,0,7,7
2020-12-23,0,0,0,0,0,-1,-1
2020-12-24,0,0,0,-1,-1,5,5
2020-12-25,0,0,0,0,0,6,6
2020-12-26,0,0,0,-1,-1,4,4
2020-12-27,0,0,0,0,0,78,78
2020-12-28,0,0,0,0,0,0,0
2020-12-29,0,0,0,0,0,0,0
2020-12-30,0,0,0,0,0,0,0
2020-12-31,0,0,0,0,0,0,0
