data,IS_p_iqo_fqo_g,is_P_iqo_fqo_g,is_p_IQO_fqo_g,is_p_iqo_FQO_g,is_p_iqo_fqo_G
2020-11-26,20,36,36,44,44
2020-11-27,23,27,27,39,39
2020-11-28,15,20,20,32,32
2020-11-29,20,7,7,38,38
2020-11-30,29,27,27,43,43
2020-12-01,26,28,28,48,48
2020-12-02,27,26,26,37,37
2020-12-03,14,20,20,33,33
2020-12-04,23,28,28,22,22
2020-12-05,11,14,14,41,41
2020-12-06,10,11,11,35,35
2020-12-07,14,16,16,27,27
2020-12-08,16,6,6,31,31
2020-12-09,22,16,16,26,26
2020-12-10,20,26,26,22,22
2020-12-11,9,19,19,35,35
2020-12-12,10,8,8,30,30
2020-12-13,11,12,12,36,36
2020-12-14,12,12,12,23,23
2020-12-15,6,19,19,32,32
2020-12-16,0,0,0,32,32
2020-12-17,0,0,0,15,15
2020-12-18,0,0,0,31,31
2020-12-19,0,0,0,16,16
2020-12-20,0,0,0,19,19
2020-12-21,0,0,0,18,18
2020-12-22,0,0,0,15,15
2020-12-23,0,0,0,27,27
2020-12-24,0,0,0,15,15
2020-12-25,0,0,0,129,129
2020-12-26,0,0,0,0,0
2020-12-27,0,0,0,0,0
2020-12-28,0,0,0,0,0
2020-12-29,0,0,0,0,0
2020-12-30,0,0,0,0,0
2020-12-31,0,0,0,0,0
