data,P_iqo_fqo_g,p_IQO_fqo_g,p_iqo_FQO_g,p_iqo_fqo_G
2020-10-29,38,38,9,9
2020-10-30,24,24,5,5
2020-10-31,27,27,8,8
2020-11-01,26,26,7,7
2020-11-02,40,40,10,10
2020-11-03,46,46,9,9
2020-11-04,48,48,15,15
2020-11-05,63,63,11,11
2020-11-06,54,54,13,13
2020-11-07,37,37,22,22
2020-11-08,34,34,23,23
2020-11-09,40,40,18,18
2020-11-10,36,36,20,20
2020-11-11,63,63,28,28
2020-11-12,72,72,17,17
2020-11-13,52,52,20,20
2020-11-14,52,52,27,27
2020-11-15,33,33,28,28
2020-11-16,52,52,35,35
2020-11-17,60,60,33,33
2020-11-18,36,36,37,37
2020-11-19,48,48,41,41
2020-11-20,50,50,35,35
2020-11-21,39,39,61,61
2020-11-22,25,25,32,32
2020-11-23,28,28,42,42
2020-11-24,42,42,52,52
2020-11-25,36,36,46,46
2020-11-26,42,42,48,48
2020-11-27,30,30,51,51
2020-11-28,22,22,47,47
2020-11-29,12,12,51,51
2020-11-30,26,26,49,49
2020-12-01,17,17,42,42
2020-12-02,27,27,54,54
2020-12-03,16,16,41,41
2020-12-04,27,27,54,54
2020-12-05,17,17,44,44
2020-12-06,8,8,54,54
2020-12-07,16,16,37,37
2020-12-08,7,7,32,32
2020-12-09,13,13,40,40
2020-12-10,19,19,51,51
2020-12-11,14,14,29,29
2020-12-12,9,9,49,49
2020-12-13,9,9,24,24
2020-12-14,10,10,26,26
2020-12-15,16,16,34,34
2020-12-16,0,0,26,26
2020-12-17,0,0,28,28
2020-12-18,0,0,20,20
2020-12-19,0,0,17,17
2020-12-20,0,0,21,21
2020-12-21,0,0,16,16
2020-12-22,0,0,13,13
2020-12-23,0,0,18,18
2020-12-24,0,0,16,16
2020-12-25,0,0,106,106
2020-12-26,0,0,0,0
2020-12-27,0,0,0,0
2020-12-28,0,0,0,0
2020-12-29,0,0,0,0
2020-12-30,0,0,0,0
2020-12-31,0,0,0,0
