data,P_iqo_fqo_g,p_IQO_fqo_g,p_iqo_FQO_g,p_iqo_fqo_G
2020-11-07,1209,1209,675,675
2020-11-08,753,753,681,681
2020-11-09,1215,1215,664,664
2020-11-10,1108,1108,744,744
2020-11-11,1186,1186,785,785
2020-11-12,1190,1190,860,860
2020-11-13,1375,1375,920,920
2020-11-14,1114,1114,979,979
2020-11-15,698,698,915,915
2020-11-16,879,879,1021,1021
2020-11-17,1132,1132,1074,1074
2020-11-18,1041,1041,1065,1065
2020-11-19,1057,1057,1196,1196
2020-11-20,922,922,1133,1133
2020-11-21,713,713,1190,1190
2020-11-22,413,413,1252,1252
2020-11-23,574,574,1242,1242
2020-11-24,657,657,1273,1273
2020-11-25,667,667,1275,1275
2020-11-26,680,680,1245,1245
2020-11-27,656,656,1161,1161
2020-11-28,506,506,1102,1102
2020-11-29,244,244,1144,1144
2020-11-30,371,371,1108,1108
2020-12-01,414,414,1084,1084
2020-12-02,488,488,1062,1062
2020-12-03,498,498,1090,1090
2020-12-04,430,430,999,999
2020-12-05,305,305,908,908
2020-12-06,192,192,904,904
2020-12-07,249,249,862,862
2020-12-08,219,219,793,793
2020-12-09,239,239,749,749
2020-12-10,289,289,651,651
2020-12-11,358,358,654,654
2020-12-12,275,275,592,592
2020-12-13,144,144,589,589
2020-12-14,207,207,579,579
2020-12-15,315,315,551,551
2020-12-16,0,0,476,476
2020-12-17,0,0,473,473
2020-12-18,0,0,446,446
2020-12-19,0,0,391,391
2020-12-20,0,0,387,387
2020-12-21,0,0,375,375
2020-12-22,0,0,375,375
2020-12-23,0,0,332,332
2020-12-24,0,0,287,287
2020-12-25,0,0,2158,2158
2020-12-26,0,0,0,0
2020-12-27,0,0,0,0
2020-12-28,0,0,0,0
2020-12-29,0,0,0,0
2020-12-30,0,0,0,0
2020-12-31,0,0,0,0
