data,P_iqo_is_fqo_ai_di_ar_dr_d,p_IQO_is_fqo_ai_di_ar_dr_d,p_iqo_IS_fqo_ai_di_ar_dr_d,p_iqo_is_FQO_ai_di_ar_dr_d,p_iqo_is_fqo_AI_di_ar_dr_d,p_iqo_is_fqo_ai_DI_ar_dr_d,p_iqo_is_fqo_ai_di_AR_dr_d,p_iqo_is_fqo_ai_di_ar_DR_d,p_iqo_is_fqo_ai_di_ar_dr_D
2020-04-10,11,11,-1,4,4,4,4,-1,-1
2020-04-11,7,7,10,4,4,-1,-1,0,0
2020-04-12,-1,-1,5,9,9,5,5,-1,-1
2020-04-13,-1,-1,7,5,5,6,6,-1,-1
2020-04-14,-1,-1,-1,-1,-1,4,4,5,5
2020-04-15,6,6,-1,8,8,6,6,5,5
2020-04-16,6,6,5,-1,-1,4,4,5,5
2020-04-17,5,5,4,4,4,4,4,-1,-1
2020-04-18,9,9,-1,-1,-1,-1,-1,4,4
2020-04-19,-1,-1,7,6,6,-1,-1,-1,-1
2020-04-20,6,6,5,5,5,4,4,6,6
2020-04-21,5,5,8,10,10,6,6,-1,-1
2020-04-22,5,5,6,6,6,4,4,6,6
2020-04-23,6,6,-1,-1,-1,-1,-1,-1,-1
2020-04-24,6,6,7,7,7,5,5,-1,-1
2020-04-25,4,4,4,4,4,-1,-1,-1,-1
2020-04-26,-1,-1,5,8,8,6,6,5,5
2020-04-27,4,4,-1,-1,-1,6,6,6,6
2020-04-28,7,7,4,4,4,4,4,6,6
2020-04-29,-1,-1,7,4,4,5,5,-1,-1
2020-04-30,-1,-1,-1,4,4,6,6,4,4
2020-05-01,-1,-1,-1,6,6,-1,-1,6,6
2020-05-02,-1,-1,-1,-1,-1,-1,-1,5,5
2020-05-03,-1,-1,-1,-1,-1,5,5,-1,-1
2020-05-04,4,4,-1,4,4,-1,-1,-1,-1
2020-05-05,0,0,-1,0,0,-1,-1,6,6
2020-05-06,-1,-1,-1,-1,-1,-1,-1,5,5
2020-05-07,-1,-1,0,0,0,4,4,-1,-1
2020-05-08,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-09,-1,-1,-1,-1,-1,-1,-1,5,5
2020-05-10,0,0,0,0,0,-1,-1,-1,-1
2020-05-11,0,0,-1,-1,-1,-1,-1,-1,-1
2020-05-12,-1,-1,-1,-1,-1,4,4,4,4
2020-05-13,0,0,-1,-1,-1,-1,-1,5,5
2020-05-14,0,0,0,-1,-1,-1,-1,4,4
2020-05-15,-1,-1,0,0,0,-1,-1,-1,-1
2020-05-16,0,0,0,0,0,-1,-1,-1,-1
2020-05-17,-1,-1,-1,-1,-1,-1,-1,0,0
2020-05-18,4,4,-1,-1,-1,0,0,0,0
2020-05-19,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-20,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-21,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-22,0,0,-1,-1,-1,-1,-1,0,0
2020-05-23,-1,-1,-1,-1,-1,0,0,-1,-1
2020-05-24,0,0,0,-1,-1,-1,-1,-1,-1
2020-05-25,0,0,-1,0,0,-1,-1,4,4
2020-05-26,-1,-1,0,0,0,0,0,0,0
2020-05-27,0,0,-1,-1,-1,-1,-1,0,0
2020-05-28,0,0,0,-1,-1,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,-1,-1
2020-05-30,0,0,0,0,0,0,0,-1,-1
2020-05-31,-1,-1,0,0,0,-1,-1,0,0
2020-06-01,0,0,0,0,0,-1,-1,-1,-1
2020-06-02,-1,-1,-1,-1,-1,-1,-1,0,0
2020-06-03,0,0,-1,0,0,0,0,-1,-1
2020-06-04,0,0,0,0,0,-1,-1,-1,-1
2020-06-05,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,-1,-1,-1,-1
2020-06-07,0,0,0,0,0,0,0,-1,-1
2020-06-08,-1,-1,0,0,0,-1,-1,0,0
2020-06-09,0,0,-1,-1,-1,0,0,-1,-1
2020-06-10,0,0,0,0,0,-1,-1,-1,-1
2020-06-11,0,0,0,0,0,0,0,-1,-1
2020-06-12,-1,-1,0,0,0,0,0,0,0
2020-06-13,0,0,-1,-1,-1,-1,-1,0,0
2020-06-14,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,-1,-1
2020-06-16,-1,-1,0,0,0,0,0,0,0
2020-06-17,-1,-1,0,-1,-1,0,0,-1,-1
2020-06-18,0,0,-1,-1,-1,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,-1,-1,0,0
2020-06-21,0,0,0,0,0,-1,-1,0,0
2020-06-22,0,0,0,0,0,0,0,0,0
2020-06-23,-1,-1,0,0,0,0,0,-1,-1
2020-06-24,0,0,0,0,0,0,0,0,0
2020-06-25,0,0,-1,-1,-1,0,0,0,0
2020-06-26,0,0,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,0,0,0
2020-06-28,-1,-1,0,0,0,-1,-1,0,0
2020-06-29,0,0,0,0,0,-1,-1,0,0
2020-06-30,0,0,-1,-1,-1,0,0,-1,-1
2020-07-01,0,0,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,-1,-1,0,0
2020-07-03,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,0,-1,-1
2020-07-09,0,0,0,0,0,0,0,-1,-1
2020-07-10,-1,-1,0,0,0,0,0,0,0
2020-07-11,0,0,0,0,0,0,0,0,0
2020-07-12,-1,-1,-1,0,0,0,0,0,0
2020-07-13,0,0,-1,-1,-1,0,0,0,0
2020-07-14,0,0,0,0,0,0,0,0,0
2020-07-15,0,0,0,0,0,-1,-1,0,0
2020-07-16,0,0,0,-1,-1,0,0,0,0
2020-07-17,0,0,0,0,0,0,0,0,0
2020-07-18,0,0,0,0,0,-1,-1,0,0
2020-07-19,-1,-1,0,0,0,0,0,0,0
2020-07-20,0,0,-1,0,0,0,0,0,0
2020-07-21,0,0,0,-1,-1,0,0,-1,-1
2020-07-22,-1,-1,0,0,0,0,0,0,0
2020-07-23,0,0,0,0,0,0,0,0,0
2020-07-24,0,0,-1,-1,-1,-1,-1,0,0
2020-07-25,0,0,0,0,0,-1,-1,0,0
2020-07-26,0,0,0,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,-1,-1,-1,-1
2020-07-28,0,0,0,0,0,0,0,0,0
2020-07-29,0,0,0,0,0,-1,-1,0,0
2020-07-30,0,0,0,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,0,0,-1,-1
2020-08-01,0,0,0,0,0,-1,-1,0,0
2020-08-02,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,0,0,0,0,0,-1,-1
2020-08-04,0,0,0,0,0,0,0,0,0
2020-08-05,0,0,0,0,0,0,0,0,0
2020-08-06,0,0,0,0,0,0,0,0,0
2020-08-07,0,0,0,0,0,0,0,0,0
2020-08-08,0,0,0,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,0,0,0,0
2020-08-11,0,0,0,0,0,0,0,0,0
2020-08-12,0,0,0,0,0,-1,-1,0,0
2020-08-13,0,0,0,0,0,0,0,0,0
2020-08-14,0,0,0,0,0,0,0,0,0
2020-08-15,0,0,0,0,0,0,0,0,0
2020-08-16,0,0,0,0,0,0,0,0,0
2020-08-17,0,0,0,0,0,0,0,-1,-1
2020-08-18,0,0,0,0,0,0,0,0,0
2020-08-19,0,0,0,0,0,0,0,0,0
2020-08-20,0,0,0,0,0,0,0,0,0
2020-08-21,0,0,0,0,0,0,0,0,0
2020-08-22,0,0,0,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0,0,0
2020-08-24,0,0,0,0,0,0,0,0,0
2020-08-25,0,0,0,0,0,-1,-1,0,0
2020-08-26,0,0,0,0,0,0,0,0,0
2020-08-27,-1,-1,0,0,0,0,0,0,0
2020-08-28,0,0,-1,0,0,0,0,0,0
2020-08-29,0,0,-1,-1,-1,0,0,0,0
2020-08-30,-1,-1,0,0,0,0,0,0,0
2020-08-31,0,0,-1,0,0,-1,-1,0,0
2020-09-01,0,0,0,-1,-1,-1,-1,0,0
2020-09-02,0,0,0,0,0,0,0,0,0
2020-09-03,0,0,0,0,0,0,0,-1,-1
2020-09-04,0,0,0,0,0,0,0,0,0
2020-09-05,0,0,0,0,0,0,0,-1,-1
2020-09-06,0,0,0,0,0,0,0,0,0
2020-09-07,0,0,0,0,0,-1,-1,0,0
2020-09-08,0,0,0,0,0,0,0,0,0
2020-09-09,0,0,0,0,0,0,0,0,0
2020-09-10,0,0,0,0,0,0,0,0,0
2020-09-11,-1,-1,0,0,0,0,0,0,0
2020-09-12,0,0,-1,0,0,0,0,0,0
2020-09-13,0,0,0,-1,-1,-1,-1,-1,-1
2020-09-14,0,0,0,0,0,0,0,0,0
2020-09-15,0,0,0,0,0,0,0,0,0
2020-09-16,0,0,0,0,0,0,0,0,0
2020-09-17,0,0,0,0,0,0,0,0,0
2020-09-18,0,0,0,0,0,0,0,0,0
2020-09-19,0,0,0,0,0,0,0,0,0
2020-09-20,0,0,0,0,0,0,0,-1,-1
2020-09-21,0,0,0,0,0,0,0,0,0
2020-09-22,0,0,0,0,0,0,0,0,0
2020-09-23,0,0,0,0,0,0,0,0,0
2020-09-24,0,0,0,0,0,0,0,0,0
2020-09-25,0,0,0,0,0,0,0,0,0
2020-09-26,-1,-1,0,0,0,-1,-1,0,0
2020-09-27,-1,-1,0,0,0,0,0,0,0
2020-09-28,0,0,-1,-1,-1,-1,-1,0,0
2020-09-29,0,0,0,0,0,-1,-1,0,0
2020-09-30,0,0,-1,-1,-1,-1,-1,0,0
2020-10-01,0,0,0,0,0,0,0,0,0
2020-10-02,-1,-1,0,0,0,0,0,0,0
2020-10-03,0,0,0,0,0,0,0,0,0
2020-10-04,0,0,-1,0,0,0,0,-1,-1
2020-10-05,0,0,0,-1,-1,-1,-1,0,0
2020-10-06,0,0,0,0,0,0,0,0,0
2020-10-07,-1,-1,0,0,0,0,0,-1,-1
2020-10-08,0,0,0,0,0,0,0,-1,-1
2020-10-09,-1,-1,0,0,0,0,0,0,0
2020-10-10,0,0,-1,-1,-1,0,0,0,0
2020-10-11,0,0,-1,-1,-1,-1,-1,0,0
2020-10-12,0,0,0,0,0,0,0,0,0
2020-10-13,-1,-1,0,0,0,0,0,0,0
2020-10-14,0,0,0,0,0,0,0,0,0
2020-10-15,-1,-1,-1,-1,-1,-1,-1,0,0
2020-10-16,-1,-1,0,0,0,0,0,0,0
2020-10-17,-1,-1,-1,-1,-1,-1,-1,0,0
2020-10-18,-1,-1,-1,-1,-1,-1,-1,0,0
2020-10-19,-1,-1,-1,-1,-1,0,0,-1,-1
2020-10-20,-1,-1,-1,0,0,-1,-1,-1,-1
2020-10-21,7,7,-1,-1,-1,-1,-1,-1,-1
2020-10-22,-1,-1,5,-1,-1,0,0,0,0
2020-10-23,-1,-1,-1,5,5,-1,-1,0,0
2020-10-24,5,5,4,4,4,-1,-1,-1,-1
2020-10-25,-1,-1,-1,-1,-1,-1,-1,0,0
2020-10-26,5,5,5,5,5,5,5,-1,-1
2020-10-27,-1,-1,6,6,6,-1,-1,-1,-1
2020-10-28,5,5,0,-1,-1,-1,-1,-1,-1
2020-10-29,5,5,5,-1,-1,-1,-1,4,4
2020-10-30,6,6,6,5,5,6,6,-1,-1
2020-10-31,8,8,6,5,5,-1,-1,-1,-1
2020-11-01,6,6,-1,5,5,4,4,-1,-1
2020-11-02,-1,-1,8,4,4,0,0,-1,-1
2020-11-03,7,7,7,6,6,-1,-1,-1,-1
2020-11-04,4,4,4,6,6,7,7,6,6
2020-11-05,11,11,5,6,6,8,8,-1,-1
2020-11-06,-1,-1,7,6,6,-1,-1,4,4
2020-11-07,8,8,7,4,4,5,5,-1,-1
2020-11-08,6,6,5,7,7,4,4,-1,-1
2020-11-09,7,7,6,5,5,-1,-1,6,6
2020-11-10,5,5,5,8,8,6,6,-1,-1
2020-11-11,9,9,9,8,8,5,5,6,6
2020-11-12,12,12,6,4,4,-1,-1,6,6
2020-11-13,16,16,10,9,9,8,8,-1,-1
2020-11-14,7,7,14,15,15,7,7,6,6
2020-11-15,-1,-1,11,10,10,9,9,4,4
2020-11-16,9,9,6,8,8,7,7,6,6
2020-11-17,12,12,7,6,6,9,9,7,7
2020-11-18,11,11,9,6,6,-1,-1,7,7
2020-11-19,6,6,11,10,10,7,7,7,7
2020-11-20,8,8,8,7,7,-1,-1,4,4
2020-11-21,7,7,8,6,6,-1,-1,8,8
2020-11-22,5,5,7,10,10,10,10,8,8
2020-11-23,8,8,7,4,4,6,6,8,8
2020-11-24,11,11,8,8,8,9,9,-1,-1
2020-11-25,7,7,10,12,12,8,8,4,4
2020-11-26,14,14,9,12,12,8,8,5,5
2020-11-27,7,7,8,8,8,6,6,5,5
2020-11-28,5,5,12,10,10,6,6,4,4
2020-11-29,6,6,5,7,7,10,10,8,8
2020-11-30,5,5,7,7,7,8,8,12,12
2020-12-01,6,6,5,5,5,-1,-1,9,9
2020-12-02,5,5,4,4,4,5,5,6,6
2020-12-03,5,5,6,6,6,5,5,6,6
2020-12-04,-1,-1,8,7,7,11,11,6,6
2020-12-05,-1,-1,-1,5,5,-1,-1,6,6
2020-12-06,-1,-1,-1,-1,-1,5,5,-1,-1
2020-12-07,5,5,-1,-1,-1,-1,-1,11,11
2020-12-08,-1,-1,4,-1,-1,9,9,6,6
2020-12-09,8,8,-1,-1,-1,5,5,5,5
2020-12-10,6,6,6,4,4,6,6,-1,-1
2020-12-11,-1,-1,-1,4,4,8,8,6,6
2020-12-12,0,0,7,5,5,6,6,4,4
2020-12-13,-1,-1,-1,7,7,-1,-1,8,8
2020-12-14,-1,-1,-1,-1,-1,-1,-1,6,6
2020-12-15,5,5,-1,-1,-1,5,5,4,4
2020-12-16,0,0,-1,-1,-1,9,9,7,7
2020-12-17,0,0,4,-1,-1,-1,-1,-1,-1
2020-12-18,0,0,-1,-1,-1,5,5,7,7
2020-12-19,0,0,0,0,0,-1,-1,6,6
2020-12-20,0,0,0,-1,-1,-1,-1,-1,-1
2020-12-21,0,0,0,0,0,4,4,4,4
2020-12-22,0,0,0,-1,-1,-1,-1,5,5
2020-12-23,0,0,0,0,0,-1,-1,5,5
2020-12-24,0,0,0,-1,-1,-1,-1,4,4
2020-12-25,0,0,0,-1,-1,-1,-1,-1,-1
2020-12-26,0,0,0,0,0,0,0,-1,-1
2020-12-27,0,0,0,0,0,0,0,-1,-1
2020-12-28,0,0,0,0,0,-1,-1,-1,-1
2020-12-29,0,0,0,0,0,28,28,-1,-1
2020-12-30,0,0,0,0,0,0,0,7,7
2020-12-31,0,0,0,0,0,0,0,28,28
