data,IS_p_ai_di_ar_dr_g,is_P_ai_di_ar_dr_g,is_p_AI_di_ar_dr_g,is_p_ai_DI_ar_dr_g,is_p_ai_di_AR_dr_g,is_p_ai_di_ar_DR_g,is_p_ai_di_ar_dr_G
2020-02-21,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,-1,0,0,0,0,0,0
2020-03-04,-1,0,0,0,0,0,0
2020-03-05,-1,-1,-1,0,0,0,0
2020-03-06,-1,-1,-1,-1,-1,0,0
2020-03-07,-1,-1,-1,0,0,0,0
2020-03-08,8,-1,-1,-1,-1,0,0
2020-03-09,5,-1,-1,-1,-1,0,0
2020-03-10,6,5,5,-1,-1,0,0
2020-03-11,5,6,6,-1,-1,0,0
2020-03-12,7,10,10,4,4,-1,-1
2020-03-13,-1,4,4,0,0,0,0
2020-03-14,8,7,7,-1,-1,-1,-1
2020-03-15,10,6,6,7,7,-1,-1
2020-03-16,7,12,12,6,6,-1,-1
2020-03-17,13,11,11,4,4,-1,-1
2020-03-18,8,5,5,7,7,-1,-1
2020-03-19,8,10,10,5,5,5,5
2020-03-20,14,7,7,4,4,5,5
2020-03-21,12,8,8,10,10,4,4
2020-03-22,11,18,18,4,4,5,5
2020-03-23,8,9,9,8,8,6,6
2020-03-24,19,11,11,10,10,4,4
2020-03-25,10,14,14,9,9,6,6
2020-03-26,14,8,8,13,13,7,7
2020-03-27,21,21,21,9,9,5,5
2020-03-28,23,17,17,10,10,10,10
2020-03-29,19,19,19,12,12,8,8
2020-03-30,11,19,19,14,14,14,14
2020-03-31,18,15,15,12,12,9,9
2020-04-01,19,15,15,17,17,11,11
2020-04-02,24,21,21,14,14,6,6
2020-04-03,29,22,22,16,16,17,17
2020-04-04,16,18,18,15,15,10,10
2020-04-05,20,31,31,14,14,13,13
2020-04-06,21,18,18,18,18,12,12
2020-04-07,39,15,15,21,21,13,13
2020-04-08,39,28,28,18,18,19,19
2020-04-09,34,31,31,22,22,15,15
2020-04-10,40,43,43,31,31,13,13
2020-04-11,35,46,46,21,21,22,22
2020-04-12,23,39,39,20,20,22,22
2020-04-13,28,31,31,24,24,22,22
2020-04-14,38,15,15,25,25,16,16
2020-04-15,44,50,50,38,38,22,22
2020-04-16,28,41,41,30,30,19,19
2020-04-17,27,32,32,27,27,30,30
2020-04-18,32,25,25,27,27,15,15
2020-04-19,24,25,25,26,26,34,34
2020-04-20,28,30,30,29,29,33,33
2020-04-21,32,29,29,31,31,24,24
2020-04-22,20,22,22,20,20,25,25
2020-04-23,22,30,30,31,31,25,25
2020-04-24,16,23,23,23,23,29,29
2020-04-25,11,19,19,23,23,33,33
2020-04-26,17,12,12,23,23,29,29
2020-04-27,18,4,4,11,11,24,24
2020-04-28,15,30,30,16,16,25,25
2020-04-29,18,16,16,19,19,27,27
2020-04-30,10,14,14,24,24,23,23
2020-05-01,10,17,17,10,10,24,24
2020-05-02,6,10,10,14,14,13,13
2020-05-03,4,-1,-1,11,11,20,20
2020-05-04,-1,-1,-1,16,16,17,17
2020-05-05,6,-1,-1,12,12,21,21
2020-05-06,6,7,7,17,17,12,12
2020-05-07,8,4,4,12,12,7,7
2020-05-08,4,10,10,11,11,16,16
2020-05-09,-1,-1,-1,16,16,16,16
2020-05-10,6,-1,-1,11,11,15,15
2020-05-11,6,5,5,6,6,12,12
2020-05-12,6,4,4,5,5,15,15
2020-05-13,4,5,5,6,6,17,17
2020-05-14,-1,11,11,9,9,8,8
2020-05-15,-1,-1,-1,12,12,10,10
2020-05-16,-1,-1,-1,6,6,6,6
2020-05-17,6,0,0,4,4,11,11
2020-05-18,-1,6,6,7,7,12,12
2020-05-19,6,7,7,7,7,9,9
2020-05-20,-1,-1,-1,8,8,5,5
2020-05-21,-1,-1,-1,5,5,8,8
2020-05-22,4,4,4,6,6,7,7
2020-05-23,0,-1,-1,7,7,5,5
2020-05-24,-1,-1,-1,4,4,-1,-1
2020-05-25,0,-1,-1,6,6,9,9
2020-05-26,0,-1,-1,-1,-1,8,8
2020-05-27,0,-1,-1,6,6,8,8
2020-05-28,-1,0,0,4,4,5,5
2020-05-29,-1,-1,-1,-1,-1,-1,-1
2020-05-30,-1,0,0,-1,-1,7,7
2020-05-31,-1,-1,-1,0,0,4,4
2020-06-01,-1,-1,-1,-1,-1,9,9
2020-06-02,-1,-1,-1,4,4,-1,-1
2020-06-03,0,-1,-1,4,4,-1,-1
2020-06-04,-1,0,0,-1,-1,-1,-1
2020-06-05,0,-1,-1,-1,-1,5,5
2020-06-06,0,0,0,-1,-1,-1,-1
2020-06-07,0,0,0,-1,-1,-1,-1
2020-06-08,-1,0,0,-1,-1,-1,-1
2020-06-09,0,0,0,-1,-1,-1,-1
2020-06-10,0,-1,-1,-1,-1,5,5
2020-06-11,0,0,0,-1,-1,-1,-1
2020-06-12,0,0,0,0,0,-1,-1
2020-06-13,0,0,0,-1,-1,-1,-1
2020-06-14,-1,0,0,0,0,-1,-1
2020-06-15,-1,-1,-1,-1,-1,-1,-1
2020-06-16,-1,-1,-1,-1,-1,-1,-1
2020-06-17,-1,0,0,-1,-1,-1,-1
2020-06-18,0,0,0,-1,-1,4,4
2020-06-19,-1,-1,-1,-1,-1,0,0
2020-06-20,0,-1,-1,5,5,-1,-1
2020-06-21,-1,-1,-1,-1,-1,-1,-1
2020-06-22,0,0,0,-1,-1,-1,-1
2020-06-23,0,-1,-1,-1,-1,4,4
2020-06-24,-1,-1,-1,-1,-1,-1,-1
2020-06-25,0,0,0,-1,-1,-1,-1
2020-06-26,-1,0,0,-1,-1,-1,-1
2020-06-27,0,-1,-1,-1,-1,0,0
2020-06-28,0,0,0,-1,-1,-1,-1
2020-06-29,0,0,0,0,0,4,4
2020-06-30,0,0,0,-1,-1,-1,-1
2020-07-01,-1,0,0,-1,-1,0,0
2020-07-02,-1,0,0,0,0,0,0
2020-07-03,0,0,0,-1,-1,-1,-1
2020-07-04,0,-1,-1,5,5,-1,-1
2020-07-05,-1,0,0,-1,-1,-1,-1
2020-07-06,0,0,0,0,0,-1,-1
2020-07-07,0,-1,-1,-1,-1,-1,-1
2020-07-08,0,0,0,0,0,0,0
2020-07-09,0,0,0,-1,-1,-1,-1
2020-07-10,0,0,0,0,0,-1,-1
2020-07-11,-1,0,0,0,0,-1,-1
2020-07-12,0,-1,-1,-1,-1,0,0
2020-07-13,0,0,0,0,0,0,0
2020-07-14,0,0,0,-1,-1,-1,-1
2020-07-15,0,0,0,-1,-1,0,0
2020-07-16,0,0,0,0,0,-1,-1
2020-07-17,0,0,0,0,0,-1,-1
2020-07-18,0,0,0,-1,-1,-1,-1
2020-07-19,0,0,0,0,0,-1,-1
2020-07-20,0,0,0,-1,-1,0,0
2020-07-21,0,0,0,0,0,-1,-1
2020-07-22,-1,0,0,-1,-1,-1,-1
2020-07-23,0,0,0,-1,-1,-1,-1
2020-07-24,0,-1,-1,-1,-1,0,0
2020-07-25,-1,0,0,-1,-1,-1,-1
2020-07-26,-1,-1,-1,-1,-1,0,0
2020-07-27,0,-1,-1,0,0,-1,-1
2020-07-28,-1,0,0,-1,-1,0,0
2020-07-29,0,-1,-1,-1,-1,0,0
2020-07-30,0,0,0,0,0,-1,-1
2020-07-31,-1,-1,-1,0,0,-1,-1
2020-08-01,0,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,-1,-1
2020-08-03,0,0,0,-1,-1,-1,-1
2020-08-04,0,0,0,-1,-1,-1,-1
2020-08-05,-1,0,0,0,0,-1,-1
2020-08-06,0,0,0,-1,-1,0,0
2020-08-07,0,-1,-1,-1,-1,0,0
2020-08-08,0,0,0,-1,-1,0,0
2020-08-09,0,0,0,0,0,0,0
2020-08-10,-1,0,0,0,0,-1,-1
2020-08-11,0,-1,-1,-1,-1,-1,-1
2020-08-12,0,0,0,0,0,-1,-1
2020-08-13,-1,0,0,0,0,0,0
2020-08-14,0,-1,-1,0,0,-1,-1
2020-08-15,0,0,0,0,0,0,0
2020-08-16,0,0,0,0,0,0,0
2020-08-17,0,0,0,-1,-1,0,0
2020-08-18,0,0,0,0,0,0,0
2020-08-19,-1,-1,-1,-1,-1,0,0
2020-08-20,0,0,0,-1,-1,0,0
2020-08-21,0,0,0,0,0,-1,-1
2020-08-22,-1,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0
2020-08-24,0,-1,-1,0,0,0,0
2020-08-25,-1,-1,-1,0,0,0,0
2020-08-26,-1,0,0,-1,-1,0,0
2020-08-27,0,-1,-1,-1,-1,-1,-1
2020-08-28,0,0,0,-1,-1,0,0
2020-08-29,-1,0,0,-1,-1,-1,-1
2020-08-30,0,0,0,0,0,-1,-1
2020-08-31,0,0,0,-1,-1,-1,-1
2020-09-01,0,-1,-1,-1,-1,-1,-1
2020-09-02,0,0,0,-1,-1,-1,-1
2020-09-03,0,0,0,-1,-1,0,0
2020-09-04,0,0,0,0,0,0,0
2020-09-05,0,0,0,-1,-1,-1,-1
2020-09-06,0,0,0,0,0,0,0
2020-09-07,-1,0,0,0,0,0,0
2020-09-08,-1,0,0,0,0,0,0
2020-09-09,-1,-1,-1,-1,-1,-1,-1
2020-09-10,0,-1,-1,0,0,-1,-1
2020-09-11,-1,-1,-1,-1,-1,0,0
2020-09-12,-1,-1,-1,0,0,-1,-1
2020-09-13,-1,0,0,0,0,-1,-1
2020-09-14,-1,0,0,0,0,0,0
2020-09-15,0,4,4,-1,-1,0,0
2020-09-16,0,0,0,0,0,0,0
2020-09-17,-1,-1,-1,0,0,0,0
2020-09-18,0,-1,-1,-1,-1,-1,-1
2020-09-19,-1,0,0,0,0,-1,-1
2020-09-20,-1,-1,-1,-1,-1,-1,-1
2020-09-21,0,-1,-1,0,0,-1,-1
2020-09-22,-1,0,0,0,0,-1,-1
2020-09-23,-1,-1,-1,-1,-1,-1,-1
2020-09-24,-1,-1,-1,-1,-1,-1,-1
2020-09-25,-1,-1,-1,-1,-1,0,0
2020-09-26,0,-1,-1,0,0,-1,-1
2020-09-27,-1,0,0,-1,-1,0,0
2020-09-28,4,-1,-1,-1,-1,0,0
2020-09-29,5,-1,-1,-1,-1,-1,-1
2020-09-30,4,-1,-1,-1,-1,-1,-1
2020-10-01,-1,6,6,-1,-1,-1,-1
2020-10-02,-1,5,5,6,6,-1,-1
2020-10-03,-1,-1,-1,-1,-1,-1,-1
2020-10-04,-1,0,0,-1,-1,-1,-1
2020-10-05,-1,-1,-1,-1,-1,-1,-1
2020-10-06,6,-1,-1,-1,-1,-1,-1
2020-10-07,-1,-1,-1,-1,-1,-1,-1
2020-10-08,7,6,6,6,6,-1,-1
2020-10-09,5,5,5,0,0,0,0
2020-10-10,-1,4,4,-1,-1,-1,-1
2020-10-11,-1,4,4,-1,-1,-1,-1
2020-10-12,-1,-1,-1,-1,-1,6,6
2020-10-13,6,-1,-1,-1,-1,0,0
2020-10-14,-1,-1,-1,-1,-1,-1,-1
2020-10-15,8,7,7,5,5,-1,-1
2020-10-16,13,8,8,8,8,-1,-1
2020-10-17,10,14,14,8,8,-1,-1
2020-10-18,19,6,6,4,4,4,4
2020-10-19,18,12,12,6,6,5,5
2020-10-20,17,13,13,18,18,-1,-1
2020-10-21,19,30,30,10,10,7,7
2020-10-22,14,9,9,6,6,6,6
2020-10-23,22,21,21,17,17,11,11
2020-10-24,22,20,20,12,12,6,6
2020-10-25,26,18,18,15,15,10,10
2020-10-26,33,21,21,16,16,11,11
2020-10-27,23,35,35,21,21,10,10
2020-10-28,28,26,26,21,21,9,9
2020-10-29,19,27,27,21,21,19,19
2020-10-30,23,16,16,12,12,14,14
2020-10-31,28,32,32,17,17,18,18
2020-11-01,35,17,17,10,10,14,14
2020-11-02,43,33,33,19,19,11,11
2020-11-03,47,38,38,27,27,12,12
2020-11-04,43,56,56,41,41,19,19
2020-11-05,44,48,48,33,33,11,11
2020-11-06,51,43,43,35,35,26,26
2020-11-07,45,47,47,33,33,23,23
2020-11-08,55,42,42,34,34,28,28
2020-11-09,68,49,49,36,36,27,27
2020-11-10,62,53,53,30,30,31,31
2020-11-11,60,78,78,49,49,24,24
2020-11-12,40,65,65,50,50,42,42
2020-11-13,53,51,51,44,44,40,40
2020-11-14,40,33,33,34,34,44,44
2020-11-15,55,43,43,37,37,25,25
2020-11-16,37,54,54,42,42,46,46
2020-11-17,54,45,45,44,44,44,44
2020-11-18,46,53,53,40,40,40,40
2020-11-19,38,48,48,36,36,32,32
2020-11-20,40,38,38,44,44,39,39
2020-11-21,30,44,44,47,47,34,34
2020-11-22,40,27,27,35,35,35,35
2020-11-23,41,31,31,37,37,45,45
2020-11-24,42,48,48,37,37,37,37
2020-11-25,36,42,42,39,39,47,47
2020-11-26,27,42,42,36,36,52,52
2020-11-27,31,38,38,39,39,37,37
2020-11-28,24,23,23,31,31,39,39
2020-11-29,37,18,18,34,34,38,38
2020-11-30,26,30,30,23,23,32,32
2020-12-01,34,39,39,26,26,39,39
2020-12-02,27,36,36,23,23,37,37
2020-12-03,36,29,29,29,29,39,39
2020-12-04,28,35,35,42,42,25,25
2020-12-05,19,27,27,36,36,28,28
2020-12-06,15,12,12,30,30,26,26
2020-12-07,23,30,30,42,42,32,32
2020-12-08,19,12,12,19,19,32,32
2020-12-09,30,24,24,18,18,41,41
2020-12-10,27,26,26,34,34,23,23
2020-12-11,20,35,35,26,26,21,21
2020-12-12,15,15,15,22,22,37,37
2020-12-13,18,15,15,21,21,36,36
2020-12-14,10,10,10,15,15,21,21
2020-12-15,8,31,31,27,27,32,32
2020-12-16,0,0,0,9,9,25,25
2020-12-17,0,0,0,15,15,24,24
2020-12-18,0,0,0,13,13,19,19
2020-12-19,0,0,0,12,12,18,18
2020-12-20,0,0,0,17,17,20,20
2020-12-21,0,0,0,11,11,15,15
2020-12-22,0,0,0,5,5,17,17
2020-12-23,0,0,0,11,11,15,15
2020-12-24,0,0,0,7,7,18,18
2020-12-25,0,0,0,6,6,13,13
2020-12-26,0,0,0,6,6,12,12
2020-12-27,0,0,0,9,9,8,8
2020-12-28,0,0,0,10,10,16,16
2020-12-29,0,0,0,157,157,7,7
2020-12-30,0,0,0,0,0,9,9
2020-12-31,0,0,0,0,0,184,184
