data,IS_p_iqo_fqo_g,is_P_iqo_fqo_g,is_p_IQO_fqo_g,is_p_iqo_FQO_g,is_p_iqo_fqo_G
2020-11-22,61,33,33,82,82
2020-11-23,48,43,43,61,61
2020-11-24,54,49,49,66,66
2020-11-25,49,57,57,68,68
2020-11-26,36,61,61,93,93
2020-11-27,39,39,39,95,95
2020-11-28,20,35,35,75,75
2020-11-29,16,18,18,78,78
2020-11-30,25,22,22,70,70
2020-12-01,31,15,15,73,73
2020-12-02,24,32,32,78,78
2020-12-03,33,36,36,84,84
2020-12-04,24,32,32,68,68
2020-12-05,12,19,19,65,65
2020-12-06,18,16,16,57,57
2020-12-07,19,18,18,61,61
2020-12-08,16,20,20,43,43
2020-12-09,18,12,12,58,58
2020-12-10,22,11,11,64,64
2020-12-11,13,29,29,43,43
2020-12-12,14,17,17,45,45
2020-12-13,17,10,10,44,44
2020-12-14,9,15,15,44,44
2020-12-15,11,29,29,41,41
2020-12-16,0,0,0,33,33
2020-12-17,0,0,0,29,29
2020-12-18,0,0,0,27,27
2020-12-19,0,0,0,24,24
2020-12-20,0,0,0,19,19
2020-12-21,0,0,0,30,30
2020-12-22,0,0,0,22,22
2020-12-23,0,0,0,33,33
2020-12-24,0,0,0,17,17
2020-12-25,0,0,0,148,148
2020-12-26,0,0,0,0,0
2020-12-27,0,0,0,0,0
2020-12-28,0,0,0,0,0
2020-12-29,0,0,0,0,0
2020-12-30,0,0,0,0,0
2020-12-31,0,0,0,0,0
