data,P_iqo_is_fqo_d,p_IQO_is_fqo_d,p_iqo_IS_fqo_d,p_iqo_is_FQO_d,p_iqo_is_fqo_D
2020-11-27,9,9,15,14,14
2020-11-28,4,4,8,17,17
2020-11-29,5,5,6,18,18
2020-11-30,6,6,5,19,19
2020-12-01,7,7,-1,19,19
2020-12-02,0,0,10,6,6
2020-12-03,0,0,-1,21,21
2020-12-04,0,0,-1,19,19
2020-12-05,0,0,0,13,13
2020-12-06,0,0,0,12,12
2020-12-07,0,0,0,12,12
2020-12-08,0,0,0,14,14
2020-12-09,0,0,0,12,12
2020-12-10,0,0,0,11,11
2020-12-11,0,0,0,12,12
2020-12-12,0,0,0,15,15
2020-12-13,0,0,0,8,8
2020-12-14,0,0,0,11,11
2020-12-15,0,0,0,8,8
2020-12-16,0,0,0,6,6
2020-12-17,0,0,0,4,4
2020-12-18,0,0,0,5,5
2020-12-19,0,0,0,-1,-1
2020-12-20,0,0,0,-1,-1
2020-12-21,0,0,0,0,0
2020-12-22,0,0,0,-1,-1
2020-12-23,0,0,0,0,0
2020-12-24,0,0,0,0,0
2020-12-25,0,0,0,0,0
2020-12-26,0,0,0,0,0
2020-12-27,0,0,0,0,0
2020-12-28,0,0,0,0,0
2020-12-29,0,0,0,0,0
2020-12-30,0,0,0,0,0
2020-12-31,0,0,0,0,0
