"Delay (days)";"Time between symptom onset and diagnosis of SARS-CoV-2";"Time between symptom onset and hospital admission";"Time between symptom onset and ICU admission";"Time between symptom onset and death";"Time between hospital and ICU admission";"Hospital length of stay";"ICU length of stay"
"56";"0.1%";"0%";"0%";"0.1%";"0.1%";"0.2%";"0.1%"
"57";"0.1%";"0%";"0%";"0.1%";"0%";"0.2%";"0.3%"
"58";"0.1%";"0%";"0%";"0.1%";"0.1%";"0.2%";"0.3%"
"59";"0.1%";"0%";"0%";"0.2%";"0%";"0.2%";"0.1%"
"60";"0.1%";"0%";"0%";"0.1%";"0%";"0.2%";"0%"
"61";"0.1%";"0%";"0%";"0.2%";"0%";"0.2%";"0.1%"
"62";"0.1%";"0%";"0%";"0.1%";"0%";"0.2%";"0.1%"
"63";"0.1%";"0%";"0.1%";"0.1%";"0%";"0.1%";"0.1%"
"64";"0.1%";"0%";"0%";"0.1%";"0%";"0.2%";"0.1%"
"65";"0.1%";"0%";"0%";"0.1%";"0%";"0.1%";"0.1%"
"66";"0.1%";"0%";"0%";"0.1%";"0%";"0.1%";"0%"
"67";"0.1%";"0%";"0.1%";"0.1%";"0%";"0.1%";"0%"
"68";"0.1%";"0%";"0%";"0%";"0.1%";"0.1%";"0.1%"
"69";"0.1%";"0%";"0.1%";"0.1%";"0%";"0.1%";"0.1%"
"70";"0.1%";"0%";"0%";"0.1%";"0%";"0.1%";"0%"
"71";"0.1%";"0%";"0%";"0%";"0%";"0.1%";"0%"
"72";"0.1%";"0%";"0%";"0%";"0%";"0.1%";"0%"
"73";"0.1%";"0%";"0%";"0.1%";"0%";"0.1%";"0%"
"74";"0.1%";"0%";"0.1%";"0%";"0%";"0.1%";"0.1%"
"75";"0.1%";"0%";"0%";"0.1%";"0%";"0.1%";"0%"
"76";"0.1%";"0%";"0%";"0%";"0%";"0.1%";"0%"
"77";"0.1%";"0%";"0%";"0.1%";"0%";"0.1%";"0.1%"
"78";"0.1%";"0%";"0%";"0%";"0%";"0.1%";"0.1%"
"79";"0.1%";"0%";"0%";"0%";"0%";"0.1%";"0%"
"80";"0.1%";"0%";"0%";"0%";"0%";"0%";"0.1%"
"81";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"82";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"83";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"84";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"85";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"86";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"87";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"88";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"89";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"90";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"91";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"92";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"93";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"94";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"95";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"96";"0.1%";"0%";"0%";"0%";"0%";"0%";"0%"
"97";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"98";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"99";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
"100";"0%";"0%";"0%";"0%";"0%";"0%";"0%"
